الشعبة,الرمز
الإجازة في الروسية,107
الإجازة في الصينية,108
الإجازة في لغة الإشارات,119
الإجازة في علم النفس,121
الإجازة في العلوم الشرعية,139
الإجازة في جيوماتيك والبيئة والتهيئة,158
الاجازة في جغرافية البيئة,159
الاجازة في الجيوبوليتيك و العلاقات الدولية,160
الإجازة في حفظ الممتلكات الثقافية,161
الاجازة في الجيوماتيك والتهيئة,164
مرحلة تحضيرية آداب ولغات - إختصاص عربية,190
مرحلة تحضيرية آداب ولغات - إختصاص فرنسية,191
مرحلة تحضيرية آداب ولغات - إختصاص إنقليزية,192
مرحلة تحضيرية علوم إنسانية - اختصاص تاريخ,193
مرحلة تحضيرية علوم إنسانية - إختصاص جغرافيا,194
مرحلة تحضيرية علوم إنسانية - إختصاص فلسفة,195
الإجازة في المسرح و فنون العرض,200
الهندسة المعمارية,203
الإجازة في التعمير والتهيئة,244
الاجازة في هندسة وتقنيات الصوت,246
الإجازة في هندسة الصوت والتكنولوجيات الحديثة,247
الإجازة في فنون التراث الإسلامي,260
الإجازة في القانون الاجتماعي,322
الإجازة في علوم الشغل,346
الإجازة في الخدمة الاجتماعية,347
الإجازة في التصرف في تكنولوجيات المعلومات والاتصال,355
الإجازة في التصرف الإلكتروني في المعلومات و الوثائق,360
الإجازة في علوم المكتبات والتوثيق و الأرشيف,362
باكالوريوس أعمال,363
الإجازة في التنشيط السياحي,377
الإجازة في الوساطة والتنشيط,422
الاجازة في السياحة,440
الإجازة في الفندقة,443
الإجازة في علوم التربية,452
الإجازة في التربية المختصة,453
الإجازة في التربية والتعليم,470
الإجازة في الهيدروميكانيك,473
الإجازة في الكيمياء - علوم الأحياء,477
الإجازة في الكيمياء - علوم الأحياء,506
مرحلة تحضيرية مندمجة في الهندسة البيولوجية والبيوطبية,514
مرحلة تحضيرية مندمجة في الهندسة البيوطبية,516
مرحلة تحضيرية مندمجة في هندسة بيوتكنولوجيات الصحة,517
مرحلة تحضيرية مندمجة,518
مرحلة تحضيرية مندمجة - علمية,519
مرحلة تحضيرية مندمجة رياضيات فيزياء و إعلامية,520
مرحلة تحضيرية مندمجة كيمياء - بيولوجيا تطبيقية,521
مرحلة تحضيرية - علمية,522
مرحلة تحضيرية مندمجة رياضيات فيزياء كيمياء,525
مرحلة تحضيرية مندمجة رياضيات فيزياء و إعلامية,526
مرحلة تحضيرية - تكنولوجيا,532
الإجازة في البيوتكنولوجيا الطبية,545
الإجازة في الصحة والسلامة المهنية,547
الإجازة في التدخل الاجتماعي,548
الإجازة في هندسة النسيج,574
الاجازة في هندسة الأساليب الصناعية,576
الاجازة في الهندسة الصناعية,577
الإجازة في تكنولوجيا وهندسة النقل,580
الإجازة في الهندسة الحرارية والطاقات المتجددة,604
الإجازة في الصحافة,611
الإجازة في الاتصال,612
الإجازة في الإلكتروميكانيك,671
الطب,700
الصيدلة,701
طب الأسنان,702
الإجازة في مبحث وتدريم القدم,739
الإجازة في حفظ الصحة والوقاية والمحيط,742
الإجازة في تقويم النطق والكلام,745
الاجازة في أجهزة جراحة العظام,746
الإجازة في التغذية البشرية,747
الاجازة في العلاج بالعمل,748
الإجازة في المبصريات والنظارات الطبية,749
الإجازة في بدائل الأسنان,752
الإجازة في تركيب و إستعمال آلة سمع,753
مرحلة تحضيرية بيولوجيا - جيولوجيا,832
الإجازة في الصناعات الغذائية,840
الإجازة في التكنولوجيات الغذائية والمحيط,842
الإجازة في علوم البحار,846